127.0.0.1 - - [29/Sep/2015:10:34:57 +0530] "GET /GradleWorkspace/ HTTP/1.1" 200 1307
127.0.0.1 - - [29/Sep/2015:10:34:58 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 404 1036
127.0.0.1 - - [29/Sep/2015:10:34:58 +0530] "GET /js/angular-ui-router.min.js HTTP/1.1" 404 1048
127.0.0.1 - - [29/Sep/2015:10:34:58 +0530] "GET /js/app.js HTTP/1.1" 404 1012
127.0.0.1 - - [29/Sep/2015:10:34:58 +0530] "GET /js/app-services.js HTTP/1.1" 404 1030
127.0.0.1 - - [29/Sep/2015:10:34:58 +0530] "GET /js/app-directives.js HTTP/1.1" 404 1034
127.0.0.1 - - [29/Sep/2015:10:34:59 +0530] "GET /css/font-awesome.min.css HTTP/1.1" 404 1042
127.0.0.1 - - [29/Sep/2015:10:34:59 +0530] "GET /css/app.css HTTP/1.1" 404 1016
127.0.0.1 - - [29/Sep/2015:10:34:59 +0530] "GET /js/vendor/angular.min.js HTTP/1.1" 404 1042
127.0.0.1 - - [29/Sep/2015:10:34:59 +0530] "GET /js/app-controllers.js HTTP/1.1" 404 1036
127.0.0.1 - - [29/Sep/2015:10:34:59 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [29/Sep/2015:13:41:59 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 404 1036
127.0.0.1 - - [29/Sep/2015:13:41:59 +0530] "GET /css/font-awesome.min.css HTTP/1.1" 404 1042
127.0.0.1 - - [29/Sep/2015:13:41:59 +0530] "GET /css/app.css HTTP/1.1" 404 1016
127.0.0.1 - - [29/Sep/2015:13:41:59 +0530] "GET /js/vendor/angular.min.js HTTP/1.1" 404 1042
127.0.0.1 - - [29/Sep/2015:13:41:59 +0530] "GET /js/angular-ui-router.min.js HTTP/1.1" 404 1048
127.0.0.1 - - [29/Sep/2015:13:41:59 +0530] "GET /js/app.js HTTP/1.1" 404 1012
127.0.0.1 - - [29/Sep/2015:13:41:59 +0530] "GET /js/app-controllers.js HTTP/1.1" 404 1036
127.0.0.1 - - [29/Sep/2015:13:41:59 +0530] "GET /js/app-services.js HTTP/1.1" 404 1030
127.0.0.1 - - [29/Sep/2015:13:41:59 +0530] "GET /js/app-directives.js HTTP/1.1" 404 1034
127.0.0.1 - - [29/Sep/2015:13:42:04 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 404 1036
127.0.0.1 - - [29/Sep/2015:13:42:04 +0530] "GET /css/app.css HTTP/1.1" 404 1016
127.0.0.1 - - [29/Sep/2015:13:42:05 +0530] "GET /css/font-awesome.min.css HTTP/1.1" 404 1042
